family_id,comm,satis
1,6.849427941800721,8.731482037324025
2,5.133525679213828,7.499849599426222
3,6.403143055355843,9.195062474431891
4,4.302448882341501,6.013968925902911
5,5.181058926888317,7.102076756373551
6,3.6076524691717085,5.489344892238263
7,6.706624447438889,9.673209531115226
8,7.097061500011823,8.173034711600524
9,5.803354626677995,7.344944539917313
10,4.702247321585389,6.7877170084527005
11,5.24794334323766,7.78858232351856
12,4.048195196625409,6.542290988777727
13,6.584262181977973,8.986995620700794
14,6.591851828929984,8.337786714320597
15,6.098941805424775,8.40178743641954
16,5.339793174542001,7.374576177538753
17,5.600692287406403,6.933547152964144
18,5.2794749702974375,7.271026642050144
19,5.6475386928279505,7.502663948169415
20,7.88140243419282,9.734693142265213
21,5.0257183848383535,6.725594540576406
22,4.812740480114986,7.505808522155126
23,7.750190739354786,9.122322169153335
24,6.546852313856208,7.950637536821643
25,5.0987958730622704,7.457524606104043
26,4.604010315215768,5.903227973340801
27,5.183788714287784,8.310669277432462
28,4.748241927655597,6.93412888166951
29,6.03226508341471,7.567014912725179
30,6.28049935860834,8.868428536636468
31,5.283888538014984,7.1279621928995525
32,4.130423504191105,6.529319746090938
33,3.6130845988148685,5.844953068596514
34,4.096699890084398,6.019553052595842
35,5.559175285761085,7.440781395222817
36,5.125819333796901,7.461797751404304
37,3.573220393165613,4.5104707619054
38,4.0831879629646535,6.149749628992111
39,7.1640912923038,8.511034963719508
40,7.18120168918356,8.767816361171537
41,5.357873658334881,7.72856064214139
42,6.623423264657397,8.397949416953407
43,5.312736823760914,7.595052296550099
44,3.7529440770020654,5.9328098361208275
45,3.8027026878050103,4.7906055409687704
46,5.805648388972788,7.514482185410451
47,4.684202555032307,6.165750777804882
48,3.1263468693318033,4.967985916417701
49,4.814886864833509,7.343166628962656
50,4.346974946606425,5.820384076317813
51,5.7766964074983935,7.503137175809387
52,6.102438642910302,7.474221198308205
54,4.959854226753883,6.9346064436671675
55,4.660410101372806,7.727769282206322
56,5.964863016628392,7.670639448362837
57,7.329693414062931,9.072953522707074
58,6.168537910469302,8.70212728775711
59,6.235358224821571,8.411566372267034
60,5.702944157077869,7.486439242165953
61,4.187746528568647,4.711161927194285
62,4.537943445520319,6.861715939659651
63,3.913651695917653,4.9975402226964984
64,5.212718169473686,6.510095108816391
65,8.089282510045287,9.823666792523582
66,5.796538815591973,7.412599704729859
67,6.562070239120885,8.771322396358729
68,4.586374959977597,6.972156484034985
69,4.63903331555499,5.851190956276872
70,6.128224549768941,8.0019406426497
71,7.274372637856366,9.513199478228376
72,6.512788286597342,7.1740853588428966
73,5.364212353949516,7.141093854887553
74,4.224244986019702,5.571474035481684
75,5.365682077610961,7.171547453378832
76,6.7308306094202095,8.566886926668756
77,5.727985821078712,7.03855599555363
78,6.993873038544506,9.174571780418653
79,6.9940353965879325,9.687398325248498
80,6.172637705392738,8.933892593986663
81,6.99374253574606,8.967871080301848
82,4.4720144274098566,5.585259419906934
83,7.614962067710312,9.144156577035714
84,5.214125281752942,7.209898078589224
85,6.3782299317121165,8.035859859655798
86,6.363799833891149,7.574517776034958
87,5.145057934197483,7.53721139823538
88,4.7513374297723745,6.6369066028454995
89,5.711706056864605,7.8332901694249575
90,5.901859924304274,7.4762917793501265
91,5.570639157083132,7.629038257763315
92,5.455315619499039,7.09857195226394
93,5.245787537005068,7.113169252708246
94,3.7288936604153546,5.631319865490335
95,4.151207486042622,7.050149723228809
96,4.868746336059351,6.794390282944891
97,5.9537611633820555,7.55952697398307
98,6.228115691052102,7.533207697290853
99,4.877909251670038,7.2567954983067775
100,5.248387016009856,7.197560765294191
101,5.588974564286831,7.2638917160307654
102,3.9770316440070332,5.2797592609106925
103,4.561922662209048,6.331223120620413
104,4.8610630093955445,6.621865506614452
105,4.209961920113126,6.141581721754998
106,5.376598408398605,7.996263976613337
107,5.647189524832077,7.179117037740829
108,6.886084720405089,8.364517751952187
109,5.244716903664738,6.694436643865913
110,5.098899173314159,6.437479721777245
111,6.2852710473887505,8.181348899093578
112,7.225832009876966,9.48949407786572
113,6.771803398727024,8.66068244395418
114,6.056232300902694,7.853101850955135
115,5.113459426566791,6.61884495232658
116,4.166766656648733,4.960892262587963
117,5.765881332390061,8.386416119661142
118,6.029194892986091,7.490687594255462
119,3.711163879957966,6.45161603899836
120,5.551294585595472,7.4525791858963615
121,5.901772622696327,7.1132630038438105
122,5.893460285399849,8.219805369004536
123,4.675523430589447,7.003162566792693
124,3.6832408907390404,5.640693734101177
